12.51418576,0.01763237,12.62562482,0.00163599
20.19271916,0.02575995,8.15367837,0.00490798
9.27966862,0.03748394,4.1707517,0.00490798
8.74094609,0.04738833,3.71166252,0.00654397
6.1054023,0.04747395,3.39968346,0.02617587
2.4894528,0.05428143,3.81984295,0.02944785
4.95228004,0.06730412,11.7324113,0.02944785
3.95733301,0.06900599,4.48346712,0.03599182
1.73884047,0.10052091,5.74392718,0.03599182
1.34855955,0.10387826,2.77124914,0.04580777
0.76404138,0.12049736,1.33723253,0.04744376
0.54986964,0.12057585,1.17275172,0.05235174
0.66784446,0.13371628,0.66389414,0.08670757
0.28057692,0.20315399,0.9838303,0.09488753
0.20805675,0.20652205,0.75678106,0.09815951
0.14973546,0.23297417,0.51049745,0.10961145
0.22087972,0.23452976,0.38701471,0.11124744
0.07872341,0.27433638,0.32489219,0.11615542
0.08740946,0.28914657,0.28065729,0.15051125
0.10150642,0.29240759,0.38110873,0.15541922
0.0698483,0.3534858,0.23208068,0.18323108
0.05925531,0.3584701,0.1612027,0.18813906
0.07196857,0.36501713,0.18639893,0.21595092
0.05026882,0.42938847,0.12037717,0.2192229
0.03957333,0.43768731,0.09804934,0.28139059
0.05026882,0.44092693,0.0835116,0.29120654
0.03564085,0.58606394,0.06703757,0.35337423
0.02723108,0.59272156,0.07983438,0.36319018
0.04016947,0.72614528,0.06044596,0.43517382
0.02978695,0.74105181,0.05300474,0.44662577
0.01662567,0.85492722,0.04915661,0.58404908
0.02890939,0.85974026,0.06027686,0.58895706
